1,6.43
2,6.72
3,6.84
4,6.91
5,6.95
6,6.98
7,7.00
8,7.02
9,7.04
10,7.06
12,7.07
14,7.08
16,7.10
18,7.11
20,7.12
22,7.13
24,7.14
26,7.15
28,7.16
30,7.17
35,7.18
40,7.19
45,7.20
50,7.21
55,7.22
60,7.23
61,8.42
62,8.60
63,8.69
64,8.74
65,8.76
66,8.78
67,8.80
68,8.82
69,8.84
70,8.86
72,8.87
74,8.88
76,8.89
78,8.89
80,8.90
82,8.91
84,8.93
86,8.94
88,8.95
90,8.96
95,8.98
100,9.00
105,9.01
110,9.02
115,9.03
120,9.04
121,11.20
122,11.71
123,11.99
124,12.13
125,12.21
126,12.25
127,12.28
128,12.31
129,12.33
130,12.35
132,12.37
134,12.38
136,12.40
138,12.42
140,12.44
142,12.45
144,12.46
146,12.47
148,12.48
150,12.49
155,12.52
160,12.54
165,12.56
170,12.58
175,12.60
180,12.62
181,14.25
182,14.83
183,15.10
184,15.23
185,15.29
186,15.34
187,15.37
188,15.40
189,15.42
190,15.44
192,15.47
194,15.50
196,15.52
198,15.54
200,15.56
202,15.57
204,15.60
206,15.62
208,15.64
210,15.65
215,15.67
220,15.69
225,15.71
230,15.73
235,15.74
240,15.76
